"theta","eps","test","power"
0.0658543568503695,"1","Awan & Slavkovic",0.0499998539417236
0.0658543568503695,"1","Pena & Barrientos",0.0500126697644624
0.1,"1","Awan & Slavkovic",0.0703542744907823
0.1,"1","Pena & Barrientos",0.0677679282985899
0.15,"1","Awan & Slavkovic",0.109367947059431
0.15,"1","Pena & Barrientos",0.0999671882490358
0.2,"1","Awan & Slavkovic",0.159276889496068
0.2,"1","Pena & Barrientos",0.139652041977006
0.25,"1","Awan & Slavkovic",0.219183200846425
0.25,"1","Pena & Barrientos",0.186610709135722
0.3,"1","Awan & Slavkovic",0.287460034489841
0.3,"1","Pena & Barrientos",0.240270736641199
0.35,"1","Awan & Slavkovic",0.361952772558193
0.35,"1","Pena & Barrientos",0.299729829027581
0.4,"1","Awan & Slavkovic",0.440176582641355
0.4,"1","Pena & Barrientos",0.363802650675673
0.45,"1","Awan & Slavkovic",0.519505882399894
0.45,"1","Pena & Barrientos",0.431080405540035
0.5,"1","Awan & Slavkovic",0.597351237705719
0.5,"1","Pena & Barrientos",0.5
0.55,"1","Awan & Slavkovic",0.671319219931365
0.55,"1","Pena & Barrientos",0.568919594459965
0.6,"1","Awan & Slavkovic",0.739350748008656
0.6,"1","Pena & Barrientos",0.636197349324327
0.65,"1","Awan & Slavkovic",0.799833440877417
0.65,"1","Pena & Barrientos",0.700270170972419
0.7,"1","Awan & Slavkovic",0.851683505944966
0.7,"1","Pena & Barrientos",0.759729263358801
0.75,"1","Awan & Slavkovic",0.894392689177089
0.75,"1","Pena & Barrientos",0.813389290864278
0.8,"1","Awan & Slavkovic",0.928035812441193
0.8,"1","Pena & Barrientos",0.860347958022994
0.85,"1","Awan & Slavkovic",0.95323442372236
0.85,"1","Pena & Barrientos",0.900032811750964
0.9,"1","Awan & Slavkovic",0.971072085832999
0.9,"1","Pena & Barrientos",0.93223207170141
0.95,"1","Awan & Slavkovic",0.982956829236804
0.95,"1","Pena & Barrientos",0.957106294372253
1,"1","Awan & Slavkovic",0.990426294607731
1,"1","Pena & Barrientos",0.975177676591125
0.00498107201205938,"0.1","Awan & Slavkovic",0.0500000001257003
0.00498107201205938,"0.1","Pena & Barrientos",0.0500000780310319
0.05,"0.1","Awan & Slavkovic",0.0686027604650066
0.05,"0.1","Pena & Barrientos",0.0677664967040069
0.1,"0.1","Awan & Slavkovic",0.0973097154203673
0.1,"0.1","Pena & Barrientos",0.0926737254681625
0.15,"0.1","Awan & Slavkovic",0.137778782316197
0.15,"0.1","Pena & Barrientos",0.123608863681157
0.2,"0.1","Awan & Slavkovic",0.194704407151315
0.2,"0.1","Pena & Barrientos",0.160960618406939
0.25,"0.1","Awan & Slavkovic",0.274008020314963
0.25,"0.1","Pena & Barrientos",0.204824514549376
0.3,"0.1","Awan & Slavkovic",0.379200107439427
0.3,"0.1","Pena & Barrientos",0.254944770255049
0.35,"0.1","Awan & Slavkovic",0.50249974444428
0.35,"0.1","Pena & Barrientos",0.310685286602325
0.4,"0.1","Awan & Slavkovic",0.623861376722605
0.4,"0.1","Pena & Barrientos",0.371037386687666
0.45,"0.1","Awan & Slavkovic",0.725628705753636
0.45,"0.1","Pena & Barrientos",0.434667213141465
0.5,"0.1","Awan & Slavkovic",0.802814569917978
0.5,"0.1","Pena & Barrientos",0.5
0.55,"0.1","Awan & Slavkovic",0.858960970867724
0.55,"0.1","Pena & Barrientos",0.565332786858535
0.6,"0.1","Awan & Slavkovic",0.899332830104888
0.6,"0.1","Pena & Barrientos",0.628962613312334
0.65,"0.1","Awan & Slavkovic",0.928273114485021
0.65,"0.1","Pena & Barrientos",0.689314713397676
0.7,"0.1","Awan & Slavkovic",0.948981571020319
0.7,"0.1","Pena & Barrientos",0.745055229744951
0.75,"0.1","Awan & Slavkovic",0.963774363959357
0.75,"0.1","Pena & Barrientos",0.795175485450624
0.8,"0.1","Awan & Slavkovic",0.974323192361561
0.8,"0.1","Pena & Barrientos",0.839039381593061
0.85,"0.1","Awan & Slavkovic",0.981832539848402
0.85,"0.1","Pena & Barrientos",0.876391136318843
0.9,"0.1","Awan & Slavkovic",0.987168791156556
0.9,"0.1","Pena & Barrientos",0.907326274531838
0.95,"0.1","Awan & Slavkovic",0.990954075423513
0.95,"0.1","Pena & Barrientos",0.932233503295993
1,"0.1","Awan & Slavkovic",0.993634359374144
1,"0.1","Pena & Barrientos",0.95171812765662
