"n","power","test","eps","eff"
2,0.0786571983006428,"ToT","1","1"
4,0.123005552511834,"ToT","1","1"
6,0.174552446671614,"ToT","1","1"
8,0.233099148559658,"ToT","1","1"
10,0.285086796110807,"ToT","1","1"
12,0.357052307039444,"ToT","1","1"
14,0.41492052108434,"ToT","1","1"
21,0.616071654372811,"ToT","1","1"
28,0.752156684627665,"ToT","1","1"
35,0.860449404464755,"ToT","1","1"
42,0.920013815736302,"ToT","1","1"
49,0.954111803171932,"ToT","1","1"
56,0.971816223541763,"ToT","1","1"
63,0.982445304150345,"ToT","1","1"
70,0.984100744912166,"ToT","1","1"
77,0.991679505187689,"ToT","1","1"
84,0.993799858907155,"ToT","1","1"
91,0.995141876221745,"ToT","1","1"
98,0.992678165533464,"ToT","1","1"
7,0.14216189943296,"PB","1","1"
8,0.158813399607453,"PB","1","1"
9,0.176692113038995,"PB","1","1"
10,0.195760498737712,"PB","1","1"
11,0.215959383782611,"PB","1","1"
12,0.237209202145455,"PB","1","1"
13,0.259412569887782,"PB","1","1"
14,0.282457598367796,"PB","1","1"
15,0.303506449801593,"PB","1","1"
16,0.325257466555128,"PB","1","1"
17,0.347625389779882,"PB","1","1"
18,0.370514865461324,"PB","1","1"
19,0.393822550641789,"PB","1","1"
20,0.417439648161373,"PB","1","1"
21,0.441254552578204,"PB","1","1"
22,0.462112227385348,"PB","1","1"
23,0.483121633614975,"PB","1","1"
24,0.504207792806555,"PB","1","1"
25,0.525294074123442,"PB","1","1"
26,0.546303557874401,"PB","1","1"
27,0.567160449214658,"PB","1","1"
28,0.587791416584652,"PB","1","1"
29,0.605308219106341,"PB","1","1"
30,0.622662154741214,"PB","1","1"
31,0.639808338962924,"PB","1","1"
32,0.656703167379814,"PB","1","1"
33,0.673304906309439,"PB","1","1"
34,0.689574255157006,"PB","1","1"
35,0.70547484069623,"PB","1","1"
36,0.718653489836144,"PB","1","1"
37,0.731578822604275,"PB","1","1"
38,0.744230130189878,"PB","1","1"
39,0.756588085147404,"PB","1","1"
40,0.768634934710223,"PB","1","1"
41,0.780354672030485,"PB","1","1"
42,0.791733174625153,"PB","1","1"
43,0.800982298889852,"PB","1","1"
44,0.810005955512246,"PB","1","1"
45,0.818796559457734,"PB","1","1"
46,0.82734734836424,"PB","1","1"
47,0.835652431673483,"PB","1","1"
48,0.843706830302381,"PB","1","1"
49,0.851506504340956,"PB","1","1"
50,0.857745305051422,"PB","1","1"
51,0.863821131061257,"PB","1","1"
52,0.869731914869753,"PB","1","1"
53,0.875475973430111,"PB","1","1"
54,0.881052017218674,"PB","1","1"
55,0.886459156168191,"PB","1","1"
56,0.891696901938559,"PB","1","1"
57,0.8958298059783,"PB","1","1"
58,0.899857242741221,"PB","1","1"
59,0.903778972313584,"PB","1","1"
60,0.90759491051256,"PB","1","1"
61,0.911305129580795,"PB","1","1"
62,0.914909857997003,"PB","1","1"
63,0.918409479302271,"PB","1","1"
64,0.921138728256644,"PB","1","1"
65,0.923804051392066,"PB","1","1"
66,0.926405630627592,"PB","1","1"
67,0.928943705240387,"PB","1","1"
68,0.931418571527143,"PB","1","1"
69,0.933830582244053,"PB","1","1"
70,0.936180145807764,"PB","1","1"
71,0.937993859627541,"PB","1","1"
72,0.939770362067702,"PB","1","1"
73,0.941509840994221,"PB","1","1"
74,0.943212504036983,"PB","1","1"
75,0.94487857837077,"PB","1","1"
76,0.94650831044566,"PB","1","1"
77,0.948101965663985,"PB","1","1"
78,0.94932111182724,"PB","1","1"
79,0.950519144914838,"PB","1","1"
80,0.951696183746618,"PB","1","1"
81,0.952852353633339,"PB","1","1"
82,0.953987786292044,"PB","1","1"
83,0.955102619750706,"PB","1","1"
84,0.956196998241722,"PB","1","1"
85,0.957027487577632,"PB","1","1"
86,0.957846197278925,"PB","1","1"
87,0.958653190377787,"PB","1","1"
88,0.959448531964032,"PB","1","1"
89,0.960232289158304,"PB","1","1"
90,0.961004531083135,"PB","1","1"
91,0.961765328831823,"PB","1","1"
92,0.962338512355678,"PB","1","1"
93,0.962905200066859,"PB","1","1"
94,0.963465422367361,"PB","1","1"
95,0.964019210294118,"PB","1","1"
96,0.964566595511451,"PB","1","1"
