"n","power","test","eps","eff","d","nzero"
1,0.6846,"Public","100","0.3","60","40"
3,0.899,"Public","100","0.3","60","40"
5,0.9724,"Public","100","0.3","60","40"
7,0.9958,"Public","100","0.3","60","40"
9,0.9992,"Public","100","0.3","60","40"
10,0.9996,"Public","100","0.3","60","40"
20,1,"Public","100","0.3","60","40"
30,1,"Public","100","0.3","60","40"
40,1,"Public","100","0.3","60","40"
50,1,"Public","100","0.3","60","40"
60,1,"Public","100","0.3","60","40"
70,1,"Public","100","0.3","60","40"
80,1,"Public","100","0.3","60","40"
90,1,"Public","100","0.3","60","40"
100,1,"Public","100","0.3","60","40"
2000,1,"Public","100","0.3","60","40"
200,1,"Canonne","0.5","0.3","60","40"
300,1,"Canonne","0.5","0.3","60","40"
400,1,"Canonne","0.5","0.3","60","40"
500,0.485,"Canonne","0.5","0.3","60","40"
600,0.497,"Canonne","0.5","0.3","60","40"
700,0.47,"Canonne","0.5","0.3","60","40"
800,0.52,"Canonne","0.5","0.3","60","40"
900,0.498,"Canonne","0.5","0.3","60","40"
1000,0.508,"Canonne","0.5","0.3","60","40"
1100,0.521,"Canonne","0.5","0.3","60","40"
1200,0.484,"Canonne","0.5","0.3","60","40"
1300,0.513,"Canonne","0.5","0.3","60","40"
1400,0.529,"Canonne","0.5","0.3","60","40"
1500,0.519,"Canonne","0.5","0.3","60","40"
1600,0.559,"Canonne","0.5","0.3","60","40"
1700,0.592,"Canonne","0.5","0.3","60","40"
1800,0.637,"Canonne","0.5","0.3","60","40"
1900,0.757,"Canonne","0.5","0.3","60","40"
2000,0.856,"Canonne","0.5","0.3","60","40"
2100,0.933,"Canonne","0.5","0.3","60","40"
2200,0.973,"Canonne","0.5","0.3","60","40"
2300,0.982,"Canonne","0.5","0.3","60","40"
2400,0.996,"Canonne","0.5","0.3","60","40"
2500,0.996,"Canonne","0.5","0.3","60","40"
2600,1,"Canonne","0.5","0.3","60","40"
2700,1,"Canonne","0.5","0.3","60","40"
2800,1,"Canonne","0.5","0.3","60","40"
2900,1,"Canonne","0.5","0.3","60","40"
3000,1,"Canonne","0.5","0.3","60","40"
3,0.515709121533215,"Test of tests","0.5","0.3","60","40"
8,0.578221854243606,"Test of tests","0.5","0.3","60","40"
10,0.594377278659589,"Test of tests","0.5","0.3","60","40"
20,0.670301928061105,"Test of tests","0.5","0.3","60","40"
30,0.742795637498733,"Test of tests","0.5","0.3","60","40"
40,0.812136314699421,"Test of tests","0.5","0.3","60","40"
50,0.848470986800291,"Test of tests","0.5","0.3","60","40"
60,0.878286857808911,"Test of tests","0.5","0.3","60","40"
70,0.914233736341533,"Test of tests","0.5","0.3","60","40"
80,0.933301610433771,"Test of tests","0.5","0.3","60","40"
90,0.947969404505016,"Test of tests","0.5","0.3","60","40"
110,0.961211115282001,"Test of tests","0.5","0.3","60","40"
120,0.968779349331214,"Test of tests","0.5","0.3","60","40"
130,0.974593427296324,"Test of tests","0.5","0.3","60","40"
140,0.979509910153706,"Test of tests","0.5","0.3","60","40"
150,0.984125974604418,"Test of tests","0.5","0.3","60","40"
160,0.990727842218609,"Test of tests","0.5","0.3","60","40"
170,0.992757502935304,"Test of tests","0.5","0.3","60","40"
180,0.994339860257293,"Test of tests","0.5","0.3","60","40"
190,0.995579177954034,"Test of tests","0.5","0.3","60","40"
200,0.996537792376878,"Test of tests","0.5","0.3","60","40"
1000,0.999999987687667,"Test of tests","0.5","0.3","60","40"
1500,0.999791696029453,"Test of tests","0.5","0.3","60","40"
2000,0.99998297914203,"Test of tests","0.5","0.3","60","40"
2500,0.999999150098147,"Test of tests","0.5","0.3","60","40"
3000,0.999999930476849,"Test of tests","0.5","0.3","60","40"
