"n","eps","test","power","eff","g"
12,"0.01","kw sq",0.0444,"0.5","2"
12,"0.1","kw sq",0.0496,"0.5","2"
12,"1","kw sq",0.0552,"0.5","2"
12,"100","kw sq",0.312,"0.5","2"
12,"0.01","kw abs",0.0568,"0.5","2"
12,"0.1","kw abs",0.0752,"0.5","2"
12,"1","kw abs",0.0688,"0.5","2"
12,"100","kw abs",0.3056,"0.5","2"
22,"0.01","kw sq",0.038,"0.5","2"
22,"0.1","kw sq",0.046,"0.5","2"
22,"1","kw sq",0.0452,"0.5","2"
22,"100","kw sq",0.5528,"0.5","2"
22,"0.01","kw abs",0.0592,"0.5","2"
22,"0.1","kw abs",0.0564,"0.5","2"
22,"1","kw abs",0.1092,"0.5","2"
22,"100","kw abs",0.5472,"0.5","2"
38,"0.01","kw sq",0.0452,"0.5","2"
38,"0.1","kw sq",0.052,"0.5","2"
38,"1","kw sq",0.0516,"0.5","2"
38,"100","kw sq",0.848,"0.5","2"
38,"0.01","kw abs",0.0512,"0.5","2"
38,"0.1","kw abs",0.058,"0.5","2"
38,"1","kw abs",0.2604,"0.5","2"
38,"100","kw abs",0.8136,"0.5","2"
62,"0.01","kw sq",0.0528,"0.5","2"
62,"0.1","kw sq",0.0452,"0.5","2"
62,"1","kw sq",0.0504,"0.5","2"
62,"100","kw sq",0.9588,"0.5","2"
62,"0.01","kw abs",0.0564,"0.5","2"
62,"0.1","kw abs",0.0764,"0.5","2"
62,"1","kw abs",0.692,"0.5","2"
62,"100","kw abs",0.9692,"0.5","2"
100,"0.01","kw sq",0.0472,"0.5","2"
100,"0.1","kw sq",0.0492,"0.5","2"
100,"1","kw sq",0.084,"0.5","2"
100,"100","kw sq",0.9984,"0.5","2"
100,"0.01","kw abs",0.0484,"0.5","2"
100,"0.1","kw abs",0.0656,"0.5","2"
100,"1","kw abs",0.9224,"0.5","2"
100,"100","kw abs",0.9988,"0.5","2"
160,"0.01","kw sq",0.0528,"0.5","2"
160,"0.1","kw sq",0.058,"0.5","2"
160,"1","kw sq",0.0724,"0.5","2"
160,"100","kw sq",1,"0.5","2"
160,"0.01","kw abs",0.0556,"0.5","2"
160,"0.1","kw abs",0.1336,"0.5","2"
160,"1","kw abs",0.9968,"0.5","2"
160,"100","kw abs",1,"0.5","2"
248,"0.01","kw sq",0.0492,"0.5","2"
248,"0.1","kw sq",0.0564,"0.5","2"
