n,power,test,eps,eff,g
9,0.041,Private ANOVA,1,0.35,3
12,0.04,Private ANOVA,1,0.35,3
18,0.059,Private ANOVA,1,0.35,3
24,0.043,Private ANOVA,1,0.35,3
30,0.045,Private ANOVA,1,0.35,3
42,0.05,Private ANOVA,1,0.35,3
54,0.044,Private ANOVA,1,0.35,3
69,0.064,Private ANOVA,1,0.35,3
90,0.073,Private ANOVA,1,0.35,3
117,0.118,Private ANOVA,1,0.35,3
150,0.277,Private ANOVA,1,0.35,3
189,0.538,Private ANOVA,1,0.35,3
240,0.826,Private ANOVA,1,0.35,3
303,0.96,Private ANOVA,1,0.35,3
378,0.989,Private ANOVA,1,0.35,3
471,0.999,Private ANOVA,1,0.35,3
582,1,Private ANOVA,1,0.35,3
717,1,Private ANOVA,1,0.35,3
879,1,Private ANOVA,1,0.35,3
1077,1,Private ANOVA,1,0.35,3
9,0.0506,Private KW,1,0.35,3
12,0.0552,Private KW,1,0.35,3
18,0.0758,Private KW,1,0.35,3
27,0.123,Private KW,1,0.35,3
42,0.2058,Private KW,1,0.35,3
60,0.376,Private KW,1,0.35,3
87,0.6836,Private KW,1,0.35,3
123,0.9002,Private KW,1,0.35,3
174,0.9828,Private KW,1,0.35,3
240,0.9972,Private KW,1,0.35,3
330,1,Private KW,1,0.35,3
450,1,Private KW,1,0.35,3
606,1,Private KW,1,0.35,3
807,1,Private KW,1,0.35,3
1071,1,Private KW,1,0.35,3
1410,1,Private KW,1,0.35,3
1839,1,Private KW,1,0.35,3
2385,1,Private KW,1,0.35,3
3072,1,Private KW,1,0.35,3
3933,1,Private KW,1,0.35,3
5004,1,Private KW,1,0.35,3
6330,1,Private KW,1,0.35,3
7968,1,Private KW,1,0.35,3
9975,1,Private KW,1,0.35,3
12429,1,Private KW,1,0.35,3
4,0.0818718438467043,pub,100,0.35,3
5,0.103616635109381,pub,100,0.35,3
6,0.125900474278174,pub,100,0.35,3
7,0.148279404208662,pub,100,0.35,3
8,0.170636474351874,pub,100,0.35,3
9,0.192925327719834,pub,100,0.35,3
10,0.215113784582082,pub,100,0.35,3
20,0.425141512108008,pub,100,0.35,3
30,0.599605682302836,pub,100,0.35,3
40,0.73185514172912,pub,100,0.35,3
50,0.825984475023797,pub,100,0.35,3
60,0.889958016550159,pub,100,0.35,3
70,0.9319128923407,pub,100,0.35,3
80,0.95865081141196,pub,100,0.35,3
90,0.975292547630371,pub,100,0.35,3
100,0.985445493038726,pub,100,0.35,3
110,0.991534216640064,pub,100,0.35,3
120,0.995131349403244,pub,100,0.35,3
130,0.997228589655453,pub,100,0.35,3
140,0.998437032984454,pub,100,0.35,3
150,0.999126016548451,pub,100,0.35,3
160,0.999515089393564,pub,100,0.35,3
170,0.99973289215919,pub,100,0.35,3
180,0.999853846963188,pub,100,0.35,3
190,0.999920525442613,pub,100,0.35,3
200,0.99995703373204,pub,100,0.35,3
210,0.999976897057006,pub,100,0.35,3
220,0.999987640765732,pub,100,0.35,3
230,0.999993419928573,pub,100,0.35,3
240,0.999996512595694,pub,100,0.35,3
250,0.999998159593601,pub,100,0.35,3
260,0.999999032696932,pub,100,0.35,3
270,0.999999493548198,pub,100,0.35,3
280,0.999999735806359,pub,100,0.35,3
290,0.99999986266201,pub,100,0.35,3
300,0.999999928843815,pub,100,0.35,3
310,0.999999963250404,pub,100,0.35,3
320,0.99999998107787,pub,100,0.35,3
330,0.999999990285502,pub,100,0.35,3
340,0.999999995026581,pub,100,0.35,3
350,0.999999997460653,pub,100,0.35,3
360,0.999999998706799,pub,100,0.35,3
370,0.999999999343055,pub,100,0.35,3
380,0.999999999667072,pub,100,0.35,3
390,0.999999999831668,pub,100,0.35,3
400,0.99999999991508,pub,100,0.35,3
410,0.999999999957252,pub,100,0.35,3
420,0.999999999978526,pub,100,0.35,3
430,0.999999999989234,pub,100,0.35,3
440,0.999999999994613,pub,100,0.35,3
450,0.99999999999731,pub,100,0.35,3
460,0.999999999998659,pub,100,0.35,3
470,0.999999999999333,pub,100,0.35,3
480,0.999999999999669,pub,100,0.35,3
490,0.999999999999836,pub,100,0.35,3
500,0.999999999999919,pub,100,0.35,3
9,0.0614,Test of tests,1,0.35,3
12,0.07,Test of tests,1,0.35,3
18,0.0756,Test of tests,1,0.35,3
27,0.0872,Test of tests,1,0.35,3
42,0.1352,Test of tests,1,0.35,3
60,0.2033,Test of tests,1,0.35,3
87,0.3448,Test of tests,1,0.35,3
123,0.5128,Test of tests,1,0.35,3
174,0.7416,Test of tests,1,0.35,3
240,0.9006,Test of tests,1,0.35,3
330,0.9751,Test of tests,1,0.35,3
450,0.9888,Test of tests,1,0.35,3
606,0.9931,Test of tests,1,0.35,3
807,0.9954,Test of tests,1,0.35,3
1071,0.9991,Test of tests,1,0.35,3
