"n","power","test","eps","eff","g"
9,0.048,"Private ANOVA","0.1","25","3"
18,0.044,"Private ANOVA","0.1","25","3"
30,0.04,"Private ANOVA","0.1","25","3"
54,0.02,"Private ANOVA","0.1","25","3"
90,0.032,"Private ANOVA","0.1","25","3"
150,0.032,"Private ANOVA","0.1","25","3"
240,0.016,"Private ANOVA","0.1","25","3"
378,0.02,"Private ANOVA","0.1","25","3"
582,0.024,"Private ANOVA","0.1","25","3"
879,0.044,"Private ANOVA","0.1","25","3"
1311,0.088,"Private ANOVA","0.1","25","3"
1923,0.116,"Private ANOVA","0.1","25","3"
2778,0.164,"Private ANOVA","0.1","25","3"
3966,0.224,"Private ANOVA","0.1","25","3"
9,0.0565,"New KW","0.1","25","3"
12,0.054,"New KW","0.1","25","3"
18,0.055,"New KW","0.1","25","3"
24,0.0615,"New KW","0.1","25","3"
30,0.048,"New KW","0.1","25","3"
42,0.07,"New KW","0.1","25","3"
54,0.089,"New KW","0.1","25","3"
69,0.0835,"New KW","0.1","25","3"
90,0.1245,"New KW","0.1","25","3"
117,0.143,"New KW","0.1","25","3"
150,0.2125,"New KW","0.1","25","3"
189,0.35,"New KW","0.1","25","3"
240,0.5675,"New KW","0.1","25","3"
303,0.805,"New KW","0.1","25","3"
378,0.8955,"New KW","0.1","25","3"
471,0.9595,"New KW","0.1","25","3"
582,0.9905,"New KW","0.1","25","3"
717,0.998,"New KW","0.1","25","3"
879,1,"New KW","0.1","25","3"
1077,1,"New KW","0.1","25","3"
1311,1,"New KW","0.1","25","3"
1590,1,"New KW","0.1","25","3"
1923,1,"New KW","0.1","25","3"
2316,1,"New KW","0.1","25","3"
2778,1,"New KW","0.1","25","3"
3324,1,"New KW","0.1","25","3"
3966,1,"New KW","0.1","25","3"
9,1,"Public KW","100","25","3"
12,1,"Public KW","100","25","3"
18,1,"Public KW","100","25","3"
24,1,"Public KW","100","25","3"
30,1,"Public KW","100","25","3"
42,1,"Public KW","100","25","3"
54,1,"Public KW","100","25","3"
69,1,"Public KW","100","25","3"
90,1,"Public KW","100","25","3"
117,1,"Public KW","100","25","3"
150,1,"Public KW","100","25","3"
189,1,"Public KW","100","25","3"
240,1,"Public KW","100","25","3"
303,1,"Public KW","100","25","3"
378,1,"Public KW","100","25","3"
471,1,"Public KW","100","25","3"
582,1,"Public KW","100","25","3"
717,1,"Public KW","100","25","3"
879,1,"Public KW","100","25","3"
1077,1,"Public KW","100","25","3"
1311,1,"Public KW","100","25","3"
1590,1,"Public KW","100","25","3"
1923,1,"Public KW","100","25","3"
2316,1,"Public KW","100","25","3"
2778,1,"Public KW","100","25","3"
3324,1,"Public KW","100","25","3"
3966,1,"Public KW","100","25","3"
9,0.0614,"Test of tests","0.1","25","3"
12,0.07,"Test of tests","0.1","25","3"
18,0.0756,"Test of tests","0.1","25","3"
27,0.0872,"Test of tests","0.1","25","3"
42,0.1352,"Test of tests","0.1","25","3"
60,0.2033,"Test of tests","0.1","25","3"
87,0.3448,"Test of tests","0.1","25","3"
123,0.5128,"Test of tests","0.1","25","3"
174,0.7416,"Test of tests","0.1","25","3"
240,0.9006,"Test of tests","0.1","25","3"
330,0.9751,"Test of tests","0.1","25","3"
450,0.9888,"Test of tests","0.1","25","3"
606,0.9931,"Test of tests","0.1","25","3"
807,0.9954,"Test of tests","0.1","25","3"
1071,0.9991,"Test of tests","0.1","25","3"
