n,power,test,eps,eff
4,0.0561768899503017,ToT,0.1,3
6,0.0595229744681129,ToT,0.1,3
8,0.0630830370038455,ToT,0.1,3
10,0.0668584164577444,ToT,0.1,3
20,0.0894034604063094,ToT,0.1,3
40,0.159881169937524,ToT,0.1,3
60,0.28596146566098,ToT,0.1,3
80,0.510062029770977,ToT,0.1,3
100,0.722772794378408,ToT,0.1,3
125,0.903737128027001,ToT,0.1,3
150,0.950851880913252,ToT,0.1,3
175,0.973939274743539,ToT,0.1,3
200,0.983606606317727,ToT,0.1,3
300,0.993499168212521,ToT,0.1,3
400,0.998938203223037,ToT,0.1,3
500,0.998925319898189,ToT,0.1,3
134,0.0579688302387758,PB,0.1,3
147,0.0662274494014656,PB,0.1,3
161,0.0761047367469862,PB,0.1,3
174,0.086238194679652,PB,0.1,3
188,0.0982347864276046,PB,0.1,3
201,0.110417904692892,PB,0.1,3
214,0.149097688665407,PB,0.1,3
228,0.199860043462143,PB,0.1,3
241,0.255203040412691,PB,0.1,3
255,0.322600728107394,PB,0.1,3
268,0.390804072033259,PB,0.1,3
281,0.475704410667657,PB,0.1,3
295,0.568478823653989,PB,0.1,3
308,0.651546885345725,PB,0.1,3
322,0.733410589499942,PB,0.1,3
335,0.799505026374778,PB,0.1,3
348,0.830912810939427,PB,0.1,3
362,0.86103329020578,PB,0.1,3
375,0.885555904355208,PB,0.1,3
389,0.908354407815554,PB,0.1,3
402,0.926346410622558,PB,0.1,3
415,0.93101313845593,PB,0.1,3
429,0.935782478744733,PB,0.1,3
442,0.93997961675276,PB,0.1,3
456,0.944257734679218,PB,0.1,3
469,0.948012647139033,PB,0.1,3
482,0.948660585048638,PB,0.1,3
496,0.949351217772729,PB,0.1,3
500,0.949547186623642,PB,0.1,3
2,0.260770714229384,Public,0.1,3
3,0.745268007006682,Public,0.1,3
4,0.967000639911977,Public,0.1,3
5,0.997679577438141,Public,0.1,3
6,0.999884706486608,Public,0.1,3
7,0.999995365662595,Public,0.1,3
8,0.999999838211358,Public,0.1,3
9,0.999999994893162,Public,0.1,3
10,0.999999999850638,Public,0.1,3
11,0.999999999995889,Public,0.1,3
12,0.999999999999893,Public,0.1,3
13,0.999999999999997,Public,0.1,3
14,1,Public,0.1,3
15,1,Public,0.1,3
16,1,Public,0.1,3
17,1,Public,0.1,3
18,1,Public,0.1,3
19,1,Public,0.1,3
20,1,Public,0.1,3
21,1,Public,0.1,3
22,1,Public,0.1,3
23,1,Public,0.1,3
24,1,Public,0.1,3
25,1,Public,0.1,3
26,1,Public,0.1,3
27,1,Public,0.1,3
28,1,Public,0.1,3
29,1,Public,0.1,3
30,1,Public,0.1,3
31,1,Public,0.1,3
32,1,Public,0.1,3
33,1,Public,0.1,3
34,1,Public,0.1,3
35,1,Public,0.1,3
36,1,Public,0.1,3
37,1,Public,0.1,3
38,1,Public,0.1,3
39,1,Public,0.1,3
40,1,Public,0.1,3
41,1,Public,0.1,3
42,1,Public,0.1,3
43,1,Public,0.1,3
44,1,Public,0.1,3
45,1,Public,0.1,3
46,1,Public,0.1,3
47,1,Public,0.1,3
48,1,Public,0.1,3
49,1,Public,0.1,3
50,1,Public,0.1,3
51,1,Public,0.1,3
52,1,Public,0.1,3
53,1,Public,0.1,3
54,1,Public,0.1,3
55,1,Public,0.1,3
56,1,Public,0.1,3
57,1,Public,0.1,3
58,1,Public,0.1,3
59,1,Public,0.1,3
60,1,Public,0.1,3
61,1,Public,0.1,3
62,1,Public,0.1,3
63,1,Public,0.1,3
64,1,Public,0.1,3
65,1,Public,0.1,3
66,1,Public,0.1,3
67,1,Public,0.1,3
68,1,Public,0.1,3
69,1,Public,0.1,3
70,1,Public,0.1,3
71,1,Public,0.1,3
72,1,Public,0.1,3
73,1,Public,0.1,3
74,1,Public,0.1,3
75,1,Public,0.1,3
76,1,Public,0.1,3
77,1,Public,0.1,3
78,1,Public,0.1,3
79,1,Public,0.1,3
80,1,Public,0.1,3
81,1,Public,0.1,3
82,1,Public,0.1,3
83,1,Public,0.1,3
84,1,Public,0.1,3
85,1,Public,0.1,3
86,1,Public,0.1,3
87,1,Public,0.1,3
88,1,Public,0.1,3
89,1,Public,0.1,3
90,1,Public,0.1,3
91,1,Public,0.1,3
92,1,Public,0.1,3
93,1,Public,0.1,3
94,1,Public,0.1,3
95,1,Public,0.1,3
96,1,Public,0.1,3
97,1,Public,0.1,3
98,1,Public,0.1,3
99,1,Public,0.1,3
100,1,Public,0.1,3
101,1,Public,0.1,3
102,1,Public,0.1,3
103,1,Public,0.1,3
104,1,Public,0.1,3
105,1,Public,0.1,3
106,1,Public,0.1,3
107,1,Public,0.1,3
108,1,Public,0.1,3
109,1,Public,0.1,3
110,1,Public,0.1,3
111,1,Public,0.1,3
112,1,Public,0.1,3
113,1,Public,0.1,3
114,1,Public,0.1,3
115,1,Public,0.1,3
116,1,Public,0.1,3
117,1,Public,0.1,3
