power,n,test,eps,eff,g
0.0796,9,ToT,1,1,3
0.0959,12,ToT,1,1,3
0.1317,18,ToT,1,1,3
0.1715,27,ToT,1,1,3
0.3563,42,ToT,1,1,3
0.6149,60,ToT,1,1,3
0.85,87,ToT,1,1,3
0.9562,123,ToT,1,1,3
0.9883,174,ToT,1,1,3
0.9963,240,ToT,1,1,3
0.9998,330,ToT,1,1,3
0.9957,450,ToT,1,1,3
0.9956,606,ToT,1,1,3
0.9961,807,ToT,1,1,3
0.9993,1071,ToT,1,1,3
0.034,9,SGGRGB,1,1,3
0.02,12,SGGRGB,1,1,3
0.032,18,SGGRGB,1,1,3
0.054,24,SGGRGB,1,1,3
0.04,30,SGGRGB,1,1,3
0.05,42,SGGRGB,1,1,3
0.046,54,SGGRGB,1,1,3
0.086,69,SGGRGB,1,1,3
0.09,90,SGGRGB,1,1,3
0.108,117,SGGRGB,1,1,3
0.2,150,SGGRGB,1,1,3
0.344,189,SGGRGB,1,1,3
0.64,240,SGGRGB,1,1,3
0.886,303,SGGRGB,1,1,3
0.97,378,SGGRGB,1,1,3
0.986,471,SGGRGB,1,1,3
0.992,582,SGGRGB,1,1,3
1,717,SGGRGB,1,1,3
1,879,SGGRGB,1,1,3
1,1077,SGGRGB,1,1,3
0.368,9,Public Test,1,1,3
0.56,12,Public Test,1,1,3
0.82,18,Public Test,1,1,3
0.912,24,Public Test,1,1,3
0.968,30,Public Test,1,1,3
0.998,42,Public Test,1,1,3
0.998,54,Public Test,1,1,3
1,69,Public Test,1,1,3
1,90,Public Test,1,1,3
1,117,Public Test,1,1,3
1,150,Public Test,1,1,3
1,189,Public Test,1,1,3
1,240,Public Test,1,1,3
1,303,Public Test,1,1,3
1,378,Public Test,1,1,3
1,471,Public Test,1,1,3
1,582,Public Test,1,1,3
1,717,Public Test,1,1,3
1,879,Public Test,1,1,3
1,1077,Public Test,1,1,3
0.0825,9,CKSBG,1,1,3
0.065,12,CKSBG,1,1,3
0.1085,18,CKSBG,1,1,3
0.235,27,CKSBG,1,1,3
0.452,42,CKSBG,1,1,3
0.799,60,CKSBG,1,1,3
0.9625,87,CKSBG,1,1,3
0.996,123,CKSBG,1,1,3
1,174,CKSBG,1,1,3
1,240,CKSBG,1,1,3
1,330,CKSBG,1,1,3
1,450,CKSBG,1,1,3
1,606,CKSBG,1,1,3
1,807,CKSBG,1,1,3
1,1071,CKSBG,1,1,3
