"power","n","test","eps","eff","g"
0.0796,9,"Test of tests","1","1","3"
0.0959,12,"Test of tests","1","1","3"
0.1317,18,"Test of tests","1","1","3"
0.1715,27,"Test of tests","1","1","3"
0.3563,42,"Test of tests","1","1","3"
0.6149,60,"Test of tests","1","1","3"
0.85,87,"Test of tests","1","1","3"
0.9562,123,"Test of tests","1","1","3"
0.9883,174,"Test of tests","1","1","3"
0.9963,240,"Test of tests","1","1","3"
0.9998,330,"Test of tests","1","1","3"
0.9957,450,"Test of tests","1","1","3"
0.9956,606,"Test of tests","1","1","3"
0.9961,807,"Test of tests","1","1","3"
0.9993,1071,"Test of tests","1","1","3"
0.034,9,"Private ANOVA","1","1","3"
0.02,12,"Private ANOVA","1","1","3"
0.032,18,"Private ANOVA","1","1","3"
0.054,24,"Private ANOVA","1","1","3"
0.04,30,"Private ANOVA","1","1","3"
0.05,42,"Private ANOVA","1","1","3"
0.046,54,"Private ANOVA","1","1","3"
0.086,69,"Private ANOVA","1","1","3"
0.09,90,"Private ANOVA","1","1","3"
0.108,117,"Private ANOVA","1","1","3"
0.2,150,"Private ANOVA","1","1","3"
0.344,189,"Private ANOVA","1","1","3"
0.64,240,"Private ANOVA","1","1","3"
0.886,303,"Private ANOVA","1","1","3"
0.97,378,"Private ANOVA","1","1","3"
0.986,471,"Private ANOVA","1","1","3"
0.992,582,"Private ANOVA","1","1","3"
1,717,"Private ANOVA","1","1","3"
1,879,"Private ANOVA","1","1","3"
1,1077,"Private ANOVA","1","1","3"
0.368,9,"Public ANOVA","1","1","3"
0.56,12,"Public ANOVA","1","1","3"
0.82,18,"Public ANOVA","1","1","3"
0.912,24,"Public ANOVA","1","1","3"
0.968,30,"Public ANOVA","1","1","3"
0.998,42,"Public ANOVA","1","1","3"
0.998,54,"Public ANOVA","1","1","3"
1,69,"Public ANOVA","1","1","3"
1,90,"Public ANOVA","1","1","3"
1,117,"Public ANOVA","1","1","3"
1,150,"Public ANOVA","1","1","3"
1,189,"Public ANOVA","1","1","3"
1,240,"Public ANOVA","1","1","3"
1,303,"Public ANOVA","1","1","3"
1,378,"Public ANOVA","1","1","3"
1,471,"Public ANOVA","1","1","3"
1,582,"Public ANOVA","1","1","3"
1,717,"Public ANOVA","1","1","3"
1,879,"Public ANOVA","1","1","3"
1,1077,"Public ANOVA","1","1","3"
0.0825,9,"New KW","1","1","3"
0.065,12,"New KW","1","1","3"
0.1085,18,"New KW","1","1","3"
0.235,27,"New KW","1","1","3"
0.452,42,"New KW","1","1","3"
0.799,60,"New KW","1","1","3"
0.9625,87,"New KW","1","1","3"
0.996,123,"New KW","1","1","3"
1,174,"New KW","1","1","3"
1,240,"New KW","1","1","3"
1,330,"New KW","1","1","3"
1,450,"New KW","1","1","3"
1,606,"New KW","1","1","3"
1,807,"New KW","1","1","3"
1,1071,"New KW","1","1","3"
0.2285,9,"Public KW","1","1","3"
0.522,12,"Public KW","1","1","3"
0.7855,18,"Public KW","1","1","3"
0.9445,27,"Public KW","1","1","3"
0.995,42,"Public KW","1","1","3"
1,60,"Public KW","1","1","3"
1,87,"Public KW","1","1","3"
1,123,"Public KW","1","1","3"
1,174,"Public KW","1","1","3"
1,240,"Public KW","1","1","3"
1,330,"Public KW","1","1","3"
1,450,"Public KW","1","1","3"
1,606,"Public KW","1","1","3"
1,807,"Public KW","1","1","3"
1,1071,"Public KW","1","1","3"
